Freq.	V(a)
1.00000000000000e+01	(4.93877518541887e+01dB,-1.41362629794028e+02°)
1.25892541179417e+01	(5.00584609174941e+01dB,-1.47602187031019e+02°)
1.58489319246111e+01	(5.05420275306401e+01dB,-1.53257959690053e+02°)
1.99526231496888e+01	(5.08773943848998e+01dB,-1.58191075591177e+02°)
2.51188643150958e+01	(5.11031484860158e+01dB,-1.62368599660544e+02°)
3.16227766016838e+01	(5.12518747324573e+01dB,-1.65831459673835e+02°)
3.98107170553497e+01	(5.13484048564165e+01dB,-1.68659737960791e+02°)
5.01187233627272e+01	(5.14104340445720e+01dB,-1.70946824599984e+02°)
6.30957344480193e+01	(5.14500326144100e+01dB,-1.72784102240592e+02°)
7.94328234724282e+01	(5.14752046514061e+01dB,-1.74253584181520e+02°)
1.00000000000000e+02	(5.14911624765719e+01dB,-1.75425399267146e+02°)
1.25892541179417e+02	(5.15012613476741e+01dB,-1.76357815189263e+02°)
1.58489319246111e+02	(5.15076452657067e+01dB,-1.77098393485014e+02°)
1.99526231496888e+02	(5.15116778523725e+01dB,-1.77685517189161e+02°)
2.51188643150958e+02	(5.15142238103395e+01dB,-1.78149921736637e+02°)
3.16227766016838e+02	(5.15158303983566e+01dB,-1.78516071556867e+02°)
3.98107170553497e+02	(5.15168434873938e+01dB,-1.78803331536290e+02°)
5.01187233627273e+02	(5.15174813898235e+01dB,-1.79026932129691e+02°)
6.30957344480194e+02	(5.15178816524391e+01dB,-1.79198747193052e+02°)
7.94328234724282e+02	(5.15181306146237e+01dB,-1.79327909618751e+02°)
1.00000000000000e+03	(5.15182819916675e+01dB,-1.79421289323269e+02°)
1.25892541179417e+03	(5.15183684499162e+01dB,-1.79483854901944e+02°)
1.58489319246111e+03	(5.15184086474203e+01dB,-1.79518936133670e+02°)
1.99526231496888e+03	(5.15184112594648e+01dB,-1.79528400278276e+02°)
2.51188643150958e+03	(5.15183768498295e+01dB,-1.79512751046528e+02°)
3.16227766016838e+03	(5.15182979919218e+01dB,-1.79471155280901e+02°)
3.98107170553498e+03	(5.15181576660579e+01dB,-1.79401398696666e+02°)
5.01187233627273e+03	(5.15179255886234e+01dB,-1.79299768380736e+02°)
6.30957344480194e+03	(5.15175516796657e+01dB,-1.79160855998130e+02°)
7.94328234724283e+03	(5.15169552664086e+01dB,-1.78977271688344e+02°)
1.00000000000000e+04	(5.15160077015097e+01dB,-1.78739254361929e+02°)
1.25892541179417e+04	(5.15145046760610e+01dB,-1.78434159540851e+02°)
1.58489319246112e+04	(5.15121223230435e+01dB,-1.78045801248347e+02°)
1.99526231496888e+04	(5.15083478193648e+01dB,-1.77553620412447e+02°)
2.51188643150958e+04	(5.15023699704917e+01dB,-1.76931650375590e+02°)
3.16227766016839e+04	(5.14929073118412e+01dB,-1.76147253764047e+02°)
3.98107170553498e+04	(5.14779394886289e+01dB,-1.75159620929166e+02°)
5.01187233627273e+04	(5.14542910396589e+01dB,-1.73918061343146e+02°)
6.30957344480195e+04	(5.14169951916946e+01dB,-1.72360208848966e+02°)
7.94328234724283e+04	(5.13583426413242e+01dB,-1.70410436773278e+02°)
1.00000000000000e+05	(5.12665104641701e+01dB,-1.67979087440489e+02°)
1.25892541179417e+05	(5.11237060536832e+01dB,-1.64963586510469e+02°)
1.58489319246112e+05	(5.09039290153266e+01dB,-1.61253014851843e+02°)
1.99526231496888e+05	(5.05708782974935e+01dB,-1.56737700505206e+02°)
2.51188643150959e+05	(5.00773201297055e+01dB,-1.51323537481853e+02°)
3.16227766016839e+05	(4.93682025114180e+01dB,-1.44945346291232e+02°)
3.98107170553498e+05	(4.83900408475665e+01dB,-1.37565887405150e+02°)
5.01187233627273e+05	(4.71070588057327e+01dB,-1.29147092169209e+02°)
6.30957344480195e+05	(4.55198251098858e+01dB,-1.19602577002665e+02°)
7.94328234724283e+05	(4.36775314633675e+01dB,-1.08777181591110e+02°)
1.00000000000000e+06	(4.16750743802280e+01dB,-9.65018740265291e+01°)
1.25892541179417e+06	(3.96321359211923e+01dB,-8.27127473680309e+01°)
1.58489319246112e+06	(3.76604490896829e+01dB,-6.75577883166376e+01°)
1.99526231496888e+06	(3.58321446501794e+01dB,-5.14199091276552e+01°)
2.51188643150959e+06	(3.41623614425284e+01dB,-3.48503896652680e+01°)
3.16227766016839e+06	(3.26129869003296e+01dB,-1.84633676807031e+01°)
3.98107170553498e+06	(3.11147861699138e+01dB,-2.84482583179024e+00°)
5.01187233627274e+06	(2.95966857539299e+01dB,1.15073112049120e+01°)
6.30957344480195e+06	(2.80082922466798e+01dB,2.42237346259274e+01°)
7.94328234724284e+06	(2.63273801208389e+01dB,3.50893109514511e+01°)
1.00000000000000e+07	(2.45541183983297e+01dB,4.40417851938847e+01°)
