Freq.	V(a)
1.00000000000000e+01	(4.63586264711637e+01dB,-1.41313733326896e+02°)
1.25892541179417e+01	(4.70293020855157e+01dB,-1.47563731646469e+02°)
1.58489319246111e+01	(4.75128425555630e+01dB,-1.53227831375359e+02°)
1.99526231496888e+01	(4.78481900890880e+01dB,-1.58167623188568e+02°)
2.51188643150958e+01	(4.80739305705012e+01dB,-1.62350544459000e+02°)
3.16227766016838e+01	(4.82226475560610e+01dB,-1.65817822587874e+02°)
3.98107170553497e+01	(4.83191715446872e+01dB,-1.68649782945062e+02°)
5.01187233627272e+01	(4.83811967435346e+01dB,-1.70940016230496e+02°)
6.30957344480193e+01	(4.84207927576458e+01dB,-1.72780075175348e+02°)
7.94328234724282e+01	(4.84459631830833e+01dB,-1.74252122534389e+02°)
1.00000000000000e+02	(4.84619200186692e+01dB,-1.75426424469795e+02°)
1.25892541179417e+02	(4.84720183189938e+01dB,-1.76361381467057e+02°)
1.58489319246111e+02	(4.84784019661523e+01dB,-1.77104690568095e+02°)
1.99526231496888e+02	(4.84824345247839e+01dB,-1.77694880325689e+02°)
2.51188643150958e+02	(4.84849806923600e+01dB,-1.78162849499822e+02°)
3.16227766016838e+02	(4.84865877731525e+01dB,-1.78533252372242e+02°)
3.98107170553497e+02	(4.84876017445589e+01dB,-1.78825680330543e+02°)
5.01187233627273e+02	(4.84882411095086e+01dB,-1.79055639046734e+02°)
6.30957344480194e+02	(4.84886437304052e+01dB,-1.79235340968130e+02°)
7.94328234724282e+02	(4.84888964556678e+01dB,-1.79374338982836e+02°)
1.00000000000000e+03	(4.84890538133737e+01dB,-1.79480026769657e+02°)
1.25892541179417e+03	(4.84891497597191e+01dB,-1.79558028335883e+02°)
1.58489319246111e+03	(4.84892050015794e+01dB,-1.79612495405990e+02°)
1.99526231496888e+03	(4.84892314614231e+01dB,-1.79646327452410e+02°)
2.51188643150958e+03	(4.84892348499805e+01dB,-1.79661325558180e+02°)
3.16227766016838e+03	(4.84892158985275e+01dB,-1.79658288034933e+02°)
3.98107170553498e+03	(4.84891705170708e+01dB,-1.79637052741207e+02°)
5.01187233627273e+03	(4.84890889104619e+01dB,-1.79596488258096e+02°)
6.30957344480194e+03	(4.84889534665261e+01dB,-1.79534433358047e+02°)
7.94328234724283e+03	(4.84887349556881e+01dB,-1.79447581404992e+02°)
1.00000000000000e+04	(4.84883862271089e+01dB,-1.79331303278425e+02°)
1.25892541179417e+04	(4.84878320463428e+01dB,-1.79179398902979e+02°)
1.58489319246112e+04	(4.84869528892254e+01dB,-1.78983763185188e+02°)
1.99526231496888e+04	(4.84855592301730e+01dB,-1.78733946646384e+02°)
2.51188643150958e+04	(4.84833508534092e+01dB,-1.78416583538533e+02°)
3.16227766016839e+04	(4.84798525995307e+01dB,-1.78014649425868e+02°)
3.98107170553498e+04	(4.84743131799955e+01dB,-1.77506493760131e+02°)
5.01187233627273e+04	(4.84655464554653e+01dB,-1.76864566614903e+02°)
6.30957344480195e+04	(4.84516839985606e+01dB,-1.76053714791688e+02°)
7.94328234724283e+04	(4.84297931390388e+01dB,-1.75028847560475e+02°)
1.00000000000000e+05	(4.83952966481099e+01dB,-1.73731644666643e+02°)
1.25892541179417e+05	(4.83411135611048e+01dB,-1.72085769707378e+02°)
1.58489319246112e+05	(4.82564407420272e+01dB,-1.69989740639162e+02°)
1.99526231496888e+05	(4.81251490998328e+01dB,-1.67306254726939e+02°)
2.51188643150959e+05	(4.79239493543695e+01dB,-1.63846704756933e+02°)
3.16227766016839e+05	(4.76208862709723e+01dB,-1.59350888726238e+02°)
3.98107170553498e+05	(4.71753592669966e+01dB,-1.53466669042856e+02°)
5.01187233627273e+05	(4.65413852093313e+01dB,-1.45745010369326e+02°)
6.30957344480195e+05	(4.56752583308165e+01dB,-1.35680152476013e+02°)
7.94328234724283e+05	(4.45463085873145e+01dB,-1.22827316218250e+02°)
1.00000000000000e+06	(4.31465052612876e+01dB,-1.06996397839373e+02°)
1.25892541179417e+06	(4.14946712336797e+01dB,-8.84487568872706e+01°)
1.58489319246112e+06	(3.96342632554368e+01dB,-6.79712140591199e+01°)
1.99526231496888e+06	(3.76254522846593e+01dB,-4.67415072069516e+01°)
2.51188643150959e+06	(3.55322339549837e+01dB,-2.60306790417604e+01°)
3.16227766016839e+06	(3.34082082866520e+01dB,-6.89810008809650e+00°)
3.98107170553498e+06	(3.12878022425656e+01dB,9.98087505292359e+00°)
5.01187233627274e+06	(2.91863184308713e+01dB,2.43235482363249e+01°)
6.30957344480195e+06	(2.71056992511948e+01dB,3.61441952066723e+01°)
7.94328234724284e+06	(2.50408587253987e+01dB,4.56317180849754e+01°)
1.00000000000000e+07	(2.29837997776619e+01dB,5.30492429753715e+01°)
